id,full_name,description,language,stargazers_count,forks_count,open_issues_count,pr_count
599547518,vllm-project/vllm,A high-throughput and memory-efficient inference and serving engine for LLMs,Python,58898,10360,2982,162
1148753,spring-projects/spring-framework,Spring Framework,Java,58897,38739,341,105
460078,angular/angular.js,AngularJS - HTML enhanced for web apps!,JavaScript,58863,27338,461,157
660551251,FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",Python,58695,7101,58,133
529502,scrapy/scrapy,"Scrapy, a fast high-level web crawling & scraping framework for Python.",Python,58325,11055,688,100
71995937,nuxt/nuxt,The Intuitive Vue Framework.,TypeScript,58267,5366,892,151
108761645,nocodb/nocodb,🔥 🔥 🔥 Open Source Airtable Alternative,TypeScript,57771,4217,413,141
8514,rails/rails,Ruby on Rails,Ruby,57602,21980,1295,133
290882787,FuelLabs/fuel-core,Rust full node implementation of the Fuel v2 protocol.,Rust,57517,2846,161,158
486550,h5bp/html5-boilerplate,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",JavaScript,57160,12297,7,127
42408804,traefik/traefik,The Cloud Native Application Proxy,Go,56836,5495,674,115
635240594,zylon-ai/private-gpt,"Interact with your documents using the power of GPT, 100% privately, no data leaks",Python,56607,7577,281,116
36502,git/git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,56586,26694,261,100
74627617,commaai/openpilot,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",Python,56145,10132,169,102
67702184,topjohnwu/Magisk,The Magic Mask for Android,Rust,56009,15361,43,118
36040894,gatsbyjs/gatsby,"The best React-based framework with performance, scalability and security built in.",JavaScript,55933,10282,355,101
262296122,PaddlePaddle/PaddleOCR,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 80+ languages.",Python,55907,8743,159,105
