name_with_owner,url,stargazer_count,primary_language,created_at,age,last_push,time_since_last_push,disk_usage_kb,size_formatted,name
lufficc/StateLayout,https://github.com/lufficc/StateLayout,415,Java,2016-08-25T12:23:19Z,"9 anos, 0 meses",2016-11-21T00:47:41Z,"8 anos, 9 meses",2781,2.7 MB,StateLayout
graphstream/gs-core,https://github.com/graphstream/gs-core,414,Java,2010-04-29T10:25:21Z,"15 anos, 4 meses",2023-07-06T14:38:40Z,"2 anos, 2 meses",11893,11.6 MB,gs-core
FasterXML/jackson-modules-java8,https://github.com/FasterXML/jackson-modules-java8,414,Java,2016-11-03T02:26:02Z,"8 anos, 10 meses",2025-08-30T00:39:03Z,11 dias,2860,2.8 MB,jackson-modules-java8
google/TestParameterInjector,https://github.com/google/TestParameterInjector,414,Java,2021-02-16T21:34:24Z,"4 anos, 6 meses",2025-09-10T17:50:58Z,0 dias,2578,2.5 MB,TestParameterInjector
PingPlusPlus/pingpp-android,https://github.com/PingPlusPlus/pingpp-android,414,Java,2014-09-30T07:04:04Z,"10 anos, 11 meses",2024-03-04T02:34:04Z,"1 anos, 6 meses",37837,37.0 MB,pingpp-android
TarsCloud/TarsJava,https://github.com/TarsCloud/TarsJava,412,Java,2018-09-10T08:50:36Z,"7 anos, 0 meses",2024-11-01T07:23:11Z,"10 meses, 13 dias",6094,6.0 MB,TarsJava
dasniko/testcontainers-keycloak,https://github.com/dasniko/testcontainers-keycloak,412,Java,2019-12-13T06:43:58Z,"5 anos, 9 meses",2025-09-08T17:43:46Z,2 dias,497,497 KB,testcontainers-keycloak
smooks/smooks,https://github.com/smooks/smooks,412,Java,2010-12-23T21:24:49Z,"14 anos, 8 meses",2025-08-26T10:49:12Z,15 dias,30608,29.9 MB,smooks
usethesource/capsule,https://github.com/usethesource/capsule,411,Java,2015-10-21T13:13:26Z,"9 anos, 10 meses",2023-10-02T12:57:10Z,"1 anos, 11 meses",4694,4.6 MB,capsule
hisenyuan/SSM_BookSystem,https://github.com/hisenyuan/SSM_BookSystem,411,Java,2017-04-24T17:11:05Z,"8 anos, 4 meses",2019-04-30T03:44:46Z,"6 anos, 4 meses",227,227 KB,SSM_BookSystem
irshu355/Android-WYSIWYG-Editor,https://github.com/irshu355/Android-WYSIWYG-Editor,411,Java,2016-04-30T07:30:18Z,"9 anos, 4 meses",2021-02-06T19:33:34Z,"4 anos, 7 meses",30352,29.6 MB,Android-WYSIWYG-Editor
google/mug,https://github.com/google/mug,410,Java,2017-02-14T17:01:43Z,"8 anos, 7 meses",2025-09-09T22:50:18Z,1 dias,68538,66.9 MB,mug
frost373/KitDB,https://github.com/frost373/KitDB,410,Java,2018-05-22T04:58:26Z,"7 anos, 3 meses",2023-06-07T04:08:48Z,"2 anos, 3 meses",355,355 KB,KitDB
fenixsoft/microservice_arch_springcloud,https://github.com/fenixsoft/microservice_arch_springcloud,410,Java,2020-03-16T15:56:59Z,"5 anos, 5 meses",2022-10-04T07:37:08Z,"2 anos, 11 meses",6587,6.4 MB,microservice_arch_springcloud
sunweiguo/MMall,https://github.com/sunweiguo/MMall,410,Java,2018-12-31T08:14:24Z,"6 anos, 8 meses",2020-04-11T16:22:43Z,"5 anos, 5 meses",80074,78.2 MB,MMall
fuzui/StudentInfo,https://github.com/fuzui/StudentInfo,408,Java,2019-04-14T13:51:23Z,"6 anos, 5 meses",2023-09-10T14:25:32Z,"2 anos, 0 meses",2759,2.7 MB,StudentInfo
wso2/msf4j,https://github.com/wso2/msf4j,406,Java,2015-09-21T06:19:29Z,"9 anos, 11 meses",2025-07-22T11:25:15Z,"1 meses, 20 dias",33825,33.0 MB,msf4j
f4b6a3/ulid-creator,https://github.com/f4b6a3/ulid-creator,406,Java,2020-02-17T03:29:47Z,"5 anos, 6 meses",2025-03-30T18:35:34Z,"5 meses, 14 dias",265,265 KB,ulid-creator
roseboy/classfinal,https://github.com/roseboy/classfinal,405,Java,2019-09-04T09:15:10Z,"6 anos, 0 meses",2020-04-29T13:22:08Z,"5 anos, 4 meses",330,330 KB,classfinal
Nepxion/Aquarius,https://github.com/Nepxion/Aquarius,404,Java,2017-11-11T12:06:53Z,"7 anos, 10 meses",2024-08-11T11:06:15Z,"1 anos, 1 meses",1217,1.2 MB,Aquarius
spotify/completable-futures,https://github.com/spotify/completable-futures,403,Java,2016-02-26T09:56:53Z,"9 anos, 6 meses",2023-12-12T12:48:34Z,"1 anos, 9 meses",1346,1.3 MB,completable-futures
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak,400,Java,2012-03-08T08:00:14Z,"13 anos, 6 meses",2025-09-10T20:06:27Z,0 dias,97804,95.5 MB,jackrabbit-oak
xabaras/RecyclerViewSwipeDecorator,https://github.com/xabaras/RecyclerViewSwipeDecorator,400,Java,2017-06-12T12:43:22Z,"8 anos, 3 meses",2023-01-24T07:36:15Z,"2 anos, 7 meses",1372,1.3 MB,RecyclerViewSwipeDecorator
agiledon/eas-ddd,https://github.com/agiledon/eas-ddd,399,Java,2019-11-25T13:38:57Z,"5 anos, 9 meses",2023-07-15T05:48:48Z,"2 anos, 1 meses",380,380 KB,eas-ddd
